Total cases, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,14,17,50,129,268,521,978,1824,2577,3363,4160,5093,6619,9872,15500,20135,25072,29451,36806,42649,49329,56907,65103,73630,82193,92779,103977,115010,127922,141898,154924,166057,177106,188751,201810,213650,223940,234758,247472,260014,268400,276876,285368,293150,299561,305357,311863,319849,326962,332913,338307,342849,347239,352222,358350,363728,368755,372960,377154,380184,384819,389277,393724,398370,402749,406470,409620,412400,415044,417658,420247,423473,426577,429262,431841,434656,437871,440975,443649,445931,448180,450318,452676,455363,457893,460281,462767,465457,468158,470666,473351,476601,480570,484819,489149,493139,497026,500573,503875,507270,510512,513809,517258,521316,525282,529079,532811,536499,540236,543753,546995,550221,553409,556548,559671,562625,565489,568321,571106,573834,576598,579351,582093,584791,587367,589905,592424,594921,597434,599966,602490,604943,607426,609975,612480,615001,617501,620120,622682,625312,627983,630692,633377,636083,639029,642233,645369,648592,651780,654995,658240,661458,664755,668136,671471,674887,678129,681483,684918,688462,692303,695575,699136,702446,706371,710457,714028,718084,722210,726423,730454,734771,739047,743388,747854,752239,756790,761082,765714,770504,775055,779168,783713,787818,791972,796640,801378,806195,810678,815495,819678,823810,828551,833153,837959,842640,847169,851279,855269,859110,862992,866776,870603,874525,878611,882498,886858,890968,895268,899661,904092,908577,912663,917053,921492,926037,930642,935571,940258,945195,950706,955858,961333,967051,972940,978628,984114,990093,996102,1002372,1008680,1014996,1021015,1026743,1033005,1039378,1045882,1052168,1058794,1065548,1072392,1079399,1086278,1093603,1101331,1109614,1118090,1126857,1135877,1146265,1157730,1170084,1183964,1199011,1215378,1233638,1253717,1282068,1311200,1341045,1371148,1400429,1431648,1461758,1493681,1526062,1558798,1590694,1621096,1653233,1686431,1718143,1748567,1780673,1809809,1836728,1866345,1898447,1928165,1955680,1982090,2004285,2024601,2043704,2062960,2082610,2100712,2118255,2133373,2147578,2162775,2178580,2194272,2208652,2220855,2232035,2241912,2255607,2270101,2283931,2296102,2307581,2317118,2326256,2336476,2346285,2355839,2364801,2373115,2380665,2387101,2392963,2399781,2406216,2412505,2418472,2424328,2429605,2435247,2442350,2449839,2457118,2464030,2470901,2477463,2485182,2492977,2501079,2508988,2516889,2524786,2531456,2539559,2548195,2556837,2564427,2572190,2579896,2586183,2594128,2602034,2609359,2616600,2624019,2631876,2638422,2646526,2655633,2665194,2674766,2683971,2693164,2701588,2711479,2723316,2734836,2746158,2757460,2769230,2780417,2793632,2807387,2821943,2835989,2850930,2866012,2879390,2894893,2911642,2930554,2950603,2971633,2992694,3013122,3035338,3061520,3091282,3120013,3149094,3179115,3208173,3240577,3277880,3317182,3357988,3400296,3445052,3487050,3529601,3579185,3633925,3689866,3745657,3798333,3849011,3903573,3962760,4025557,4086957,4150039,4212645,4268447,4323596,4384624,4446591,4501382,4550820,4591416,4629969,4667281,4710582,4751026,4788700,4820591,4849408,4875388,4900121,4929118,4955594,4977982,4998089,5016141,5031332,5044936,5059433,5072462,5083996,5095390,5106862,5117374,5127548,5139485,5151038,5160423,5169951,5178648,5186487,5194010,5203385,5212123,5220549,5228322,5235978,5242911,5249404,5256516,5263697,5270299,5276468,5282594,5287980,5293627,5300236,5306690,5313098,5319359,5325435,5330447,5336073,5342028,5348249,5354153,5359728,5365208,5370299,5375593,5381736,5387545,5393248,5398878,5404144,5409027,5414310,5420156,5425652,5430940,5435831,5440368,5444786,5449464,5454763,5459923,5465094,5470764,5476294,5481555,5486959,5493244,5500151,5507455,5514373,5522039,5529719,5537386,5546166,5554317,5563903,5574997,5587378,5601608,5618417,5638178,5660469,5682630,5704713,5727045,5747935,5770833,5795665,5822487,5846784,5870741,5895841,5918540,5942271,5968868,5996224,6018485,6039857,6059806,6078653,6096816,6118508,6138452,6157772,6177690,6197041,6215663,6234520,6253711,6273681,6293297,6311637,6329549,6346881,6366438,6388331,6412277,6435773,6458630,6478663,6498054,6519016,6542654,6566568,6590414,6613976,6636899,6658251,6682864,6710666,6738890,6767008,6794700,6820861,6847259,6874947,6904285,6932453,6960297,6987494,7013639,7039500,7066688,7095580,7124966,7154070,7182943,7210916,7238267,7267077,7296879,7327317,7357336,7387537,7416182,7444552,7475115,7508975,7540223,7570932,7601626,7630163,7654277,7683517,7714379,7744139,7772604,7800796,7827013,7851805,7879468,7909111,7936007,7961535,7985944,8009040,8032988,8061666,8091462,8121226,8150708,8178901,8206375,8231679,8259503,8288165,8315424,8340322,8363959,8386542,8408166,8432018,8457119,8480986,8503220,8527030,8550377,8571554,8596410,8624580,8652172,8676639,8700641,8724400,8746055,8770372,8795588,8818144,8839891,8861386,8881760,8901117,8921150,8943837,8964711,8984407,9002968,9022223,9040179,9058975,9080452,9100324,9118424,9136565,9154209,9171119,9189881,9209740,9228835,9247606,9266516,9286986,9307124,9333223,9365399,9402083,9441764,9482550,9519281,9552801,9597670,9652394,9718861,9787274,9850488,9916725,9978452,10043688,10117954,10195676,10271240,10339097,10403064,10457164,10522099,10591757,10664372,10736215,10808770,10881626,10947129,11014152,11090493,11167927,11250107,11343693,11438476,11526621,11619882,11722483,11833165,11940695,12051852,12150567,12238501,12335015,12446111,12554674,12653276,12748341,12834534,12908321,12984953,13079683,13173859,13266265,13353676,13434130,13504485,13589511,13675581,13762181,13841889,13913625,13975389,14025181,14089456,14149341,14206121,14255545,14293828,14326217,14353888,14388231,14425638,14458881,14488373,14513774,14534239,14551665,14576069,14600683,14623028,14644382,14663508,14680836,14693917,14708850,14726276,14743437,14760331,14775634,14789483,14800677,14815041,14831231,14846224,14860560,14873927,14885710,14894731,14907378,14919591,14929905,14939259,14946379,14953365,14958974,14965867,14972502,14978031,14983158,14987583,14991669,14994937,14999479,15003696,15007364,15010718,15013616,15016270,15018547,15021151,15023662,15026141,15028397,15030321,15032093,15033573,15034917,15036110,15037242,15038495,15040238,15041899,15043379,15044921,15046779,15048449,15050227,15051761,15053168,15054322,15055576,15057184,15058627,15060112,15061129,15062393,15063298,15064220,15065524,15066784,15068094,15069034,15070000,15070864,15071772,15072747,15073722,15074838,15075954,15077070,15078186,15079265,15080344,15081423,15082502,15083582,15084662,15085742,15087306,15088870,15090434,15091998,15093562,15095126,15096696,15100501,15104306,15108111,15111916,15115721,15119526,15123331,15131490,15139649,15147808,15155967,15164126,15172285,15180444,15197171,15213898,15230625,15247352,15264079,15280806,15297539,15329900,15362261,15394623,15426985,15459347,15491709,15524071,15576274,15628477,15680680,15732883,15785087,15837291,15889495,15940285,15991075,16041865,16092655,16143445,16194235,16245026,16295817,16328996,16362175,16395354,16428533,16461712,16494891,16528070,16548609,16569148,16589688,16610228,16630768,16651308,16671848,16683279,16694710,16706141,16717572,16729004,16740436,16751868,16758422,16764976,16771530,16778085,16784640,16791195,16797750,16802348,16806946,16811544,16816142,16820740,16825338,16829941,16833146,16836351,16839556,16842761,16845966,16849171,16852382,16855440,16858498,16861557,16864616,16867675,16870734,16873793,16877040,16880287,16883534,16886781,16890028,16893275,16896522,16899824,16903126,16906428,16909730,16913032,16916335,16919638,16922081,16924524,16926967,16929410,16931853,16934296,16936739,16939182,16941625,16944068,16946511,16948954,16951398,16953842,16955476,16957110,16958744,16960379,16962014,16963649,16965284,16966919,16968554,16970189,16971824,16973459,16975094,16976729,16978945,16981161,16983377,16985593,16987809,16990025,16992241,16994457,16996673,16998889,17001105,17003321,17005537,17008193,17010849,17013505,17016161,17018817,17021473,17024129,17026785,17029441,17032097,17034753,17037409,17040065,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722,17042722
Total deaths, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,21,30,37,44,59,75,92,108,131,168,214,277,356,425,501,574,649,725,812,908,1006,1101,1198,1296,1403,1518,1643,1769,1890,2017,2140,2259,2376,2491,2600,2706,2805,2900,2992,3081,3174,3258,3336,3397,3461,3520,3584,3641,3689,3739,3786,3841,3894,3952,4007,4055,4096,4140,4171,4199,4222,4249,4276,4308,4340,4369,4397,4431,4461,4489,4515,4540,4563,4585,4609,4630,4648,4669,4692,4711,4729,4746,4763,4778,4792,4807,4825,4842,4861,4882,4905,4927,4950,4974,5001,5025,5046,5065,5082,5097,5115,5131,5150,5167,5186,5206,5225,5241,5260,5282,5300,5323,5344,5363,5382,5402,5419,5440,5458,5475,5491,5508,5526,5545,5563,5580,5596,5613,5630,5645,5659,5674,5691,5710,5728,5747,5765,5784,5798,5813,5829,5844,5858,5873,5891,5912,5934,5955,5974,5996,6016,6039,6058,6080,6102,6121,6139,6163,6183,6209,6245,6284,6326,6370,6417,6462,6511,6564,6620,6673,6730,6782,6837,6895,6951,6999,7056,7119,7186,7249,7315,7377,7445,7506,7574,7639,7711,7785,7858,7929,7997,8062,8130,8195,8262,8325,8384,8441,8498,8553,8609,8667,8722,8778,8837,8895,8957,9014,9080,9153,9224,9296,9371,9445,9513,9584,9658,9727,9799,9874,9950,10027,10099,10177,10252,10326,10402,10481,10558,10639,10722,10803,10887,10972,11059,11145,11233,11326,11418,11507,11601,11704,11820,11943,12084,12219,12358,12511,12672,12840,13014,13191,13373,13558,13746,13936,14129,14316,14509,14705,14900,15103,15314,15531,15751,15977,16199,16417,16646,16881,17121,17364,17610,17851,18097,18351,18602,18861,19115,19371,19624,19878,20135,20388,20642,20881,21093,21295,21488,21685,21879,22070,22264,22450,22631,22807,22981,23152,23325,23495,23664,23832,23997,24161,24328,24487,24640,24789,24933,25073,25210,25344,25476,25605,25736,25865,25993,26117,26237,26354,26467,26577,26685,26797,26900,26998,27093,27187,27284,27377,27471,27562,27652,27738,27821,27903,27983,28060,28138,28213,28285,28358,28432,28503,28569,28638,28706,28771,28839,28901,28965,29030,29094,29160,29227,29290,29356,29421,29489,29552,29623,29696,29777,29864,29959,30061,30178,30316,30462,30619,30772,30923,31076,31230,31385,31537,31713,31892,32078,32263,32456,32667,32943,33201,33454,33702,33939,34182,34455,34734,35031,35320,35608,35926,36267,36613,36975,37329,37672,38011,38358,38711,39057,39398,39737,40131,40504,40844,41191,41527,41883,42187,42465,42746,43029,43311,43589,43821,44059,44301,44537,44760,44983,45186,45419,45626,45840,46071,46268,46446,46621,46787,46970,47134,47271,47405,47527,47656,47768,47882,47976,48068,48164,48255,48341,48428,48524,48593,48668,48721,48795,48879,48950,49012,49071,49122,49185,49236,49293,49358,49417,49473,49524,49576,49634,49687,49732,49774,49829,49874,49924,49959,49996,50048,50096,50155,50192,50229,50278,50324,50367,50415,50450,50488,50554,50604,50650,50709,50761,50821,50879,50934,50997,51048,51124,51184,51253,51332,51428,51519,51645,51767,51875,51976,52088,52196,52313,52437,52565,52703,52860,53005,53159,53324,53507,53675,53891,54095,54327,54533,54765,54995,55212,55469,55713,55958,56213,56458,56710,57000,57283,57559,57837,58106,58377,58651,58913,59170,59384,59643,59886,60117,60393,60641,60903,61140,61361,61574,61805,62065,62307,62524,62745,62938,63166,63372,63611,63838,64054,64264,64467,64661,64909,65137,65373,65590,65778,65984,66180,66368,66605,66841,67044,67225,67437,67623,67837,68060,68274,68472,68700,68917,69112,69344,69559,69769,69998,70207,70410,70611,70828,71052,71298,71526,71724,71927,72127,72314,72510,72713,72910,73127,73342,73531,73746,73973,74202,74428,74646,74847,75042,75235,75443,75618,75840,76041,76233,76446,76635,76842,77038,77230,77417,77645,77830,78017,78215,78407,78602,78778,78969,79151,79322,79503,79696,79863,80053,80244,80415,80591,80778,80957,81125,81258,81403,81576,81733,81917,82059,82198,82361,82506,82635,82795,82932,83075,83231,83388,83529,83702,83843,83980,84125,84278,84445,84622,84758,84920,85077,85253,85419,85600,85784,85969,86125,86299,86487,86661,86871,87045,87234,87416,87614,87831,88064,88312,88533,88734,88970,89211,89477,89741,89994,90266,90542,90808,91117,91388,91646,91910,92188,92451,92719,92990,93258,93539,93805,94026,94232,94445,94648,94837,95025,95205,95379,95549,95681,95811,95954,96094,96217,96349,96487,96620,96735,96853,96954,97077,97182,97267,97347,97437,97521,97598,97666,97736,97800,97861,97924,97977,98033,98078,98119,98157,98197,98234,98275,98311,98342,98377,98409,98437,98462,98493,98514,98532,98551,98568,98587,98610,98628,98645,98660,98676,98691,98706,98720,98736,98751,98760,98771,98783,98791,98801,98808,98819,98826,98837,98846,98854,98861,98870,98878,98885,98890,98900,98904,98911,98914,98918,98922,98925,98930,98933,98939,98943,98948,98952,98955,98957,98961,98965,98969,98969,98969,98969,98976,98978,98981,98984,98987,98990,98993,98996,98998,99000,99003,99006,99009,99012,99015,99018,99021,99024,99026,99028,99030,99032,99036,99040,99044,99047,99050,99053,99057,99062,99067,99072,99076,99080,99084,99088,99101,99114,99128,99142,99156,99170,99184,99206,99228,99250,99272,99295,99318,99341,99383,99425,99467,99509,99551,99593,99635,99678,99732,99786,99840,99894,99948,100003,100058,100106,100155,100204,100253,100302,100351,100400,100433,100466,100499,100532,100565,100598,100631,100660,100690,100720,100750,100780,100810,100840,100860,100879,100899,100920,100940,100960,100979,100992,101005,101018,101030,101044,101056,101068,101078,101088,101098,101108,101118,101128,101139,101144,101149,101155,101161,101167,101173,101179,101182,101185,101188,101191,101195,101199,101203,101207,101211,101215,101219,101223,101227,101231,101235,101239,101243,101248,101253,101258,101263,101267,101271,101275,101279,101283,101287,101292,101297,101302,101307,101312,101317,101322,101327,101333,101339,101345,101351,101357,101363,101369,101375,101380,101385,101390,101395,101400,101406,101412,101418,101424,101430,101436,101443,101450,101457,101464,101471,101478,101485,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492,101492
Daily cases, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,11,3,33,79,139,253,457,846,753,786,797,933,1526,3253,5628,4635,4937,4379,7355,5843,6680,7578,8196,8527,8563,10586,11198,11033,12912,13976,13026,11133,11049,11645,13059,11840,10290,10818,12714,12542,8386,8476,8492,7782,6411,5796,6506,7986,7113,5951,5394,4542,4390,4983,6128,5378,5027,4205,4194,3030,4635,4458,4447,4646,4379,3721,3150,2780,2644,2614,2589,3226,3104,2685,2579,2815,3215,3104,2674,2282,2249,2138,2358,2687,2530,2388,2486,2690,2701,2508,2685,3250,3969,4249,4330,3990,3887,3547,3302,3395,3242,3297,3449,4058,3966,3797,3732,3688,3737,3517,3242,3226,3188,3139,3123,2954,2864,2832,2785,2728,2764,2753,2742,2698,2576,2538,2519,2497,2513,2532,2524,2453,2483,2549,2505,2521,2500,2619,2562,2630,2671,2709,2685,2706,2946,3204,3136,3223,3188,3215,3245,3218,3297,3381,3335,3416,3242,3354,3435,3544,3841,3272,3561,3310,3925,4086,3571,4056,4126,4213,4031,4317,4276,4341,4466,4385,4551,4292,4632,4790,4551,4113,4545,4105,4154,4668,4738,4817,4483,4817,4183,4132,4741,4602,4806,4681,4529,4110,3990,3841,3882,3784,3827,3922,4086,3887,4360,4110,4300,4393,4431,4485,4086,4390,4439,4545,4605,4929,4687,4937,5511,5152,5475,5718,5889,5688,5486,5979,6009,6270,6308,6316,6019,5728,6262,6373,6504,6286,6626,6754,6844,7007,6879,7325,7728,8283,8476,8767,9020,10388,11465,12354,13880,15047,16367,18260,20079,28351,29132,29845,30103,29281,31219,30110,31923,32381,32736,31896,30402,32137,33198,31712,30424,32106,29136,26919,29617,32102,29718,27515,26410,22195,20316,19103,19256,19650,18102,17543,15118,14205,15197,15805,15692,14380,12203,11180,9877,13695,14494,13830,12171,11479,9537,9138,10220,9809,9554,8962,8314,7550,6436,5862,6818,6435,6289,5967,5856,5277,5642,7103,7489,7279,6912,6871,6562,7719,7795,8102,7909,7901,7897,6670,8103,8636,8642,7590,7763,7706,6287,7945,7906,7325,7241,7419,7857,6546,8104,9107,9561,9572,9205,9193,8424,9891,11837,11520,11322,11302,11770,11187,13215,13755,14556,14046,14941,15082,13378,15503,16749,18912,20049,21030,21061,20428,22216,26182,29762,28731,29081,30021,29058,32404,37303,39302,40806,42308,44756,41998,42551,49584,54740,55941,55791,52676,50678,54562,59187,62797,61400,63082,62606,55802,55149,61028,61967,54791,49438,40596,38553,37312,43301,40444,37674,31891,28817,25980,24733,28997,26476,22388,20107,18052,15191,13604,14497,13029,11534,11394,11472,10512,10174,11937,11553,9385,9528,8697,7839,7523,9375,8738,8426,7773,7656,6933,6493,7112,7181,6602,6169,6126,5386,5647,6609,6454,6408,6261,6076,5012,5626,5955,6221,5904,5575,5480,5091,5294,6143,5809,5703,5630,5266,4883,5283,5846,5496,5288,4891,4537,4418,4678,5299,5160,5171,5670,5530,5261,5404,6285,6907,7304,6918,7666,7680,7667,8780,8151,9586,11094,12381,14230,16809,19761,22291,22161,22083,22332,20890,22898,24832,26822,24297,23957,25100,22699,23731,26597,27356,22261,21372,19949,18847,18163,21692,19944,19320,19918,19351,18622,18857,19191,19970,19616,18340,17912,17332,19557,21893,23946,23496,22857,20033,19391,20962,23638,23914,23846,23562,22923,21352,24613,27802,28224,28118,27692,26161,26398,27688,29338,28168,27844,27197,26145,25861,27188,28892,29386,29104,28873,27973,27351,28810,29802,30438,30019,30201,28645,28370,30563,33860,31248,30709,30694,28537,24114,29240,30862,29760,28465,28192,26217,24792,27663,29643,26896,25528,24409,23096,23948,28678,29796,29764,29482,28193,27474,25304,27824,28662,27259,24898,23637,22583,21624,23852,25101,23867,22234,23810,23347,21177,24856,28170,27592,24467,24002,23759,21655,24317,25216,22556,21747,21495,20374,19357,20033,22687,20874,19696,18561,19255,17956,18796,21477,19872,18100,18141,17644,16910,18762,19859,19095,18771,18910,20470,20138,26099,32176,36684,39681,40786,36731,33520,44869,54724,66467,68413,63214,66237,61727,65236,74266,77722,75564,67857,63967,54100,64935,69658,72615,71843,72555,72856,65503,67023,76341,77434,82180,93586,94783,88145,93261,102601,110682,107530,111157,98715,87934,96514,111096,108563,98602,95065,86193,73787,76632,94730,94176,92406,87411,80454,70355,85026,86070,86600,79708,71736,61764,49792,64275,59885,56780,49424,38283,32389,27671,34343,37407,33243,29492,25401,20465,17426,24404,24614,22345,21354,19126,17328,13081,14933,17426,17161,16894,15303,13849,11194,14364,16190,14993,14336,13367,11783,9021,12647,12213,10314,9354,7120,6986,5609,6893,6635,5529,5127,4425,4086,3268,4542,4217,3668,3354,2898,2654,2277,2604,2511,2479,2256,1924,1772,1480,1344,1193,1132,1253,1743,1661,1480,1542,1858,1670,1778,1534,1407,1154,1254,1608,1443,1485,1017,1264,905,922,1304,1260,1310,940,966,864,908,975,975,1116,1116,1116,1116,1079,1079,1079,1079,1080,1080,1080,1564,1564,1564,1564,1564,1564,1570,3805,3805,3805,3805,3805,3805,3805,8159,8159,8159,8159,8159,8159,8159,16727,16727,16727,16727,16727,16727,16733,32361,32361,32362,32362,32362,32362,32362,52203,52203,52203,52203,52204,52204,52204,50790,50790,50790,50790,50790,50790,50791,50791,33179,33179,33179,33179,33179,33179,33179,20539,20539,20540,20540,20540,20540,20540,11431,11431,11431,11431,11432,11432,11432,6554,6554,6554,6555,6555,6555,6555,4598,4598,4598,4598,4598,4598,4603,3205,3205,3205,3205,3205,3205,3211,3058,3058,3059,3059,3059,3059,3059,3247,3247,3247,3247,3247,3247,3247,3302,3302,3302,3302,3302,3303,3303,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2444,2444,1634,1634,1634,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2216,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2656,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daily deaths, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,2,5,12,9,7,7,15,16,17,16,23,37,46,63,79,69,76,73,75,76,87,96,98,95,97,98,107,115,125,126,121,127,123,119,117,115,109,106,99,95,92,89,93,84,78,61,64,59,64,57,48,50,47,55,53,58,55,48,41,44,31,28,23,27,27,32,32,29,28,34,30,28,26,25,23,22,24,21,18,21,23,19,18,17,17,15,14,15,18,17,19,21,23,22,23,24,27,24,21,19,17,15,18,16,19,17,19,20,19,16,19,22,18,23,21,19,19,20,17,21,18,17,16,17,18,19,18,17,16,17,17,15,14,15,17,19,18,19,18,19,14,15,16,15,14,15,18,21,22,21,19,22,20,23,19,22,22,19,18,24,20,26,36,39,42,44,47,45,49,53,56,53,57,52,55,58,56,48,57,63,67,63,66,62,68,61,68,65,72,74,73,71,68,65,68,65,67,63,59,57,57,55,56,58,55,56,59,58,62,57,66,73,71,72,75,74,68,71,74,69,72,75,76,77,72,78,75,74,76,79,77,81,83,81,84,85,87,86,88,93,92,89,94,103,116,123,141,135,139,153,161,168,174,177,182,185,188,190,193,187,193,196,195,203,211,217,220,226,222,218,229,235,240,243,246,241,246,254,251,259,254,256,253,254,257,253,254,239,212,202,193,197,194,191,194,186,181,176,174,171,173,170,169,168,165,164,167,159,153,149,144,140,137,134,132,129,131,129,128,124,120,117,113,110,108,112,103,98,95,94,97,93,94,91,90,86,83,82,80,77,78,75,72,73,74,71,66,69,68,65,68,62,64,65,64,66,67,63,66,65,68,63,71,73,81,87,95,102,117,138,146,157,153,151,153,154,155,152,176,179,186,185,193,211,276,258,253,248,237,243,273,279,297,289,288,318,341,346,362,354,343,339,347,353,346,341,339,394,373,340,347,336,356,304,278,281,283,282,278,232,238,242,236,223,223,203,233,207,214,231,197,178,175,166,183,164,137,134,122,129,112,114,94,92,96,91,86,87,96,69,75,53,74,84,71,62,59,51,63,51,57,65,59,56,51,52,58,53,45,42,55,45,50,35,37,52,48,59,37,37,49,46,43,48,35,38,66,50,46,59,52,60,58,55,63,51,76,60,69,79,96,91,126,122,108,101,112,108,117,124,128,138,157,145,154,165,183,168,216,204,232,206,232,230,217,257,244,245,255,245,252,290,283,276,278,269,271,274,262,257,214,259,243,231,276,248,262,237,221,213,231,260,242,217,221,193,228,206,239,227,216,210,203,194,248,228,236,217,188,206,196,188,237,236,203,181,212,186,214,223,214,198,228,217,195,232,215,210,229,209,203,201,217,224,246,228,198,203,200,187,196,203,197,217,215,189,215,227,229,226,218,201,195,193,208,175,222,201,192,213,189,207,196,192,187,228,185,187,198,192,195,176,191,182,171,181,193,167,190,191,171,176,187,179,168,133,145,173,157,184,142,139,163,145,129,160,137,143,156,157,141,173,141,137,145,153,167,177,136,162,157,176,166,181,184,185,156,174,188,174,210,174,189,182,198,217,233,248,221,201,236,241,266,264,253,272,276,266,309,271,258,264,278,263,268,271,268,281,266,221,206,213,203,189,188,180,174,170,132,130,143,140,123,132,138,133,115,118,101,123,105,85,80,90,84,77,68,70,64,61,63,53,56,45,41,38,40,37,41,36,31,35,32,28,25,31,21,18,19,17,19,23,18,17,15,16,15,15,14,16,15,9,11,12,8,10,7,11,7,11,9,8,7,9,8,7,5,10,4,7,3,4,4,3,5,3,6,4,5,4,3,2,4,4,4,0,0,0,7,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,4,4,4,3,3,3,4,5,5,5,4,4,4,4,13,13,14,14,14,14,14,22,22,22,22,23,23,23,42,42,42,42,42,42,42,43,54,54,54,54,54,55,55,48,49,49,49,49,49,49,33,33,33,33,33,33,33,29,30,30,30,30,30,30,20,19,20,21,20,20,19,13,13,13,12,14,12,12,10,10,10,10,10,10,11,5,5,6,6,6,6,6,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
