Total cases, 16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,20,31,32,35,40,45,45,54,58,62,67,78,87,93,96,119,130,142,159,164,175,187,212,223,231,237,255,261,262,263,267,273,273,277,279,280,284,287,288,290,290,290,290,290,290,290,290,290,292,292,292,292,292,292,292,292,292,293,293,293,293,313,313,313,313,313,313,313,344,346,350,352,356,356,356,356,356,356,357,358,359,359,359,359,360,360,360,360,360,360,360,361,361,364,364,364,364,365,366,366,366,366,367,374,381,381,381,381,381,384,384,385,387,387,387,387,387,387,387,387,387,404,404,404,404,404,405,407,407,408,416,416,417,417,418,419,439,446,450,451,455,458,470,488,504,578,631,697,738,784,809,877,918,981,1011,1051,1057,1080,1100,1139,1162,1188,1200,1226,1232,1237,1253,1255,1260,1262,1268,1275,1280,1282,1284,1286,1286,1290,1290,1292,1292,1295,1295,1295,1295,1300,1305,1305,1306,1306,1309,1309,1309,1309,1312,1314,1314,1314,1314,1314,1315,1315,1315,1315,1320,1323,1343,1343,1344,1345,1345,1345,1346,1347,1348,1349,1354,1356,1358,1359,1362,1371,1373,1373,1375,1383,1389,1390,1393,1397,1397,1410,1418,1419,1422,1423,1427,1427,1430,1430,1443,1454,1455,1459,1464,1465,1465,1467,1479,1512,1513,1516,1516,1548,1550,1555,1568,1572,1573,1574,1575,1580,1584,1589,1600,1608,1610,1612,1616,1620,1627,1630,1630,1634,1635,1636,1647,1651,1655,1661,1665,1667,1672,1675,1675,1677,1680,1681,1683,1684,1690,1691,1703,1710,1711,1712,1723,1726,1728,1737,1746,1754,1767,1770,1777,1778,1782,1785,1786,1787,1788,1793,1794,1805,1810,1811,1811,1813,1814,1818,1820,1822,1822,1822,1823,1825,1825,1972,2069,2165,2239,2287,2333,2373,2442,2465,2470,2495,2568,2585,2621,2694,2696,2774,2822,2884,2947,2968,2989,3007,3013,3031,3040,3049,3061,3069,3075,3081,3100,3100,3131,3142,3148,3154,3161,3173,3186,3188,3191,3195,3215,3218,3219,3222,3225,3232,3235,3236,3237,3237,3240,3240,3241,3244,3251,3251,3256,3259,3259,3268,3285,3288,3294,3299,3305,3317,3329,3338,3356,3365,3366,3379,3388,3411,3443,3460,3469,3472,3479,3488,3494,3505,3522,3525,3536,3545,3550,3558,3626,3647,3664,3689,3712,3730,3763,3870,3941,4091,4259,4475,4598,4733,4869,5044,5322,5637,5940,6191,6481,6680,6901,7141,7361,7672,8276,8792,9171,9584,10053,10460,10815,11222,11615,12020,12392,12805,13146,13533,13817,14488,14853,15178,15605,16091,16540,17205,17901,18748,19180,19976,20489,20938,21334,21700,22168,23595,23879,24482,25142,25752,26490,27667,28562,30081,31549,33361,35059,36716,38883,41562,44614,47833,51759,55553,60390,66025,71525,77651,87428,94350,102263,111104,121317,133371,148639,161066,174068,187121,197938,210459,224723,238948,253168,265464,279365,291937,303885,317612,329711,345698,361104,374944,389400,405348,420488,436517,452323,466594,482440,496716,514290,535363,554265,572959,589918,607749,627701,654233,675549,695513,716625,740085,760882,779744,801514,826127,841831,863499,884091,907527,928445,948928,970900,990585,1010429,1028861,1046198,1063659,1080963,1099965,1115429,1131992,1146310,1165601,1184619,1200249,1214328,1230335,1246846,1262288,1275491,1289934,1303032,1314507,1323567,1332439,1341321,1348521,1355721,1362573,1370465,1377913,1383733,1389703,1394564,1400273,1407126,1413387,1418697,1423961,1429183,1434183,1440194,1446190,1452764,1458326,1465001,1471000,1476926,1484202,1492269,1500352,1508983,1518088,1527323,1536618,1548338,1559193,1571567,1583921,1596537,1609710,1623124,1636208,1649670,1664482,1678450,1691933,1706147,1723070,1739314,1756174,1772049,1787765,1804080,1821113,1839029,1858028,1878055,1899149,1924994,1945812,1967966,1990442,2013784,2035819,2057794,2080305,2103316,2126772,2149023,2172488,2197101,2220957,2246907,2270440,2295159,2319630,2344590,2368825,2393009,2418237,2443811,2467589,2493502,2519781,2545775,2571419,2596154,2620309,2643918,2666839,2688884,2720415,2746628,2770171,2797070,2822364,2845858,2872764,2898673,2924278,2950317,2975038,2998256,3023382,3048506,3074547,3099519,3125017,3149435,3174869,3201016,3225799,3251756,3276501,3300891,3324150,3346453,3370903,3395680,3420098,3443279,3466803,3487918,3507460,3524454,3537933,3551192,3569072,3587833,3609587,3635510,3669290,3706221,3746358,3787197,3829302,3869974,3915320,3964375,4017935,4073747,4139175,4203587,4276012,4348360,4434102,4525611,4630895,4750893,4868860,4999850,5140785,5287598,5449668,5621554,5801056,5987558,6185845,6391416,6616431,6839735,7055246,7281248,7495491,7705995,7905918,8123469,8344381,8556822,8750649,8951837,9113490,9264336,9411898,9556016,9691254,9813323,9928113,10030423,10121413,10217618,10310977,10398869,10477642,10548886,10603674,10656288,10715681,10768684,10817975,10860120,10896698,10927030,10951802,10976168,11002478,11027065,11048405,11068032,11083608,11096333,11110632,11124688,11137409,11149209,11160168,11169488,11177332,11186214,11194643,11202139,11208531,11213909,11217822,11221109,11223959,11227209,11231740,11235759,11239279,11241667,11243956,11246961,11249862,11254018,11256360,11258354,11260032,11261663,11263541,11265467,11267272,11268941,11270474,11271862,11273102,11274494,11275908,11277249,11278552,11279724,11280660,11281836,11282898,11283999,11285143,11286236,11287162,11287883,11288730,11289740,11290700,11291543,11292554,11293301,11293898,11294547,11295447,11296357,11297171,11297931,11298666,11299227,11299774,11300561,11301555,11302333,11303019,11303710,11304296,11304966,11305775,11306592,11307474,11308449,11309217,11309754,11310475,11311516,11312476,11313438,11314279,11314999,11315488,11316085,11317005,11318057,11319037,11320043,11320784,11321568,11322464,11323606,11324826,11326184,11327386,11328512,11329299,11330241,11331778,11333633,11335420,11337319,11339075,11340629,11342096,11344200,11346405,11348447,11350551,11352161,11353543,11355249,11357590,11359601,11362238,11364430,11366246,11367674,11369369,11372353,11375167,11378463,11381447,11384151,11385712,11387966,11391162,11394758,11398101,11401297,11403494,11405199,11407608,11410850,11413577,11416257,11417806,11419402,11420792,11422688,11426654,11430532,11433729,11437374,11439872,11441515,11443528,11446830,11449940,11452904,11455985,11458464,11460355,11462133,11465311,11467599,11469527,11472072,11473248,11474209,11475644,11477229,11478816,11479794,11481265,11481936,11482426,11483222,11484243,11485437,11486567,11487269,11487951,11488322,11489367,11490595,11491790,11492860,11493449,11494181,11494506,11495180,11495803,11497139,11497680,11498262,11498737,11498895,11499441,11499955,11500781,11501265,11501906,11502170,11502475,11502885,11503335,11504091,11504910,11505249,11505608,11505849,11506214,11506656,11507124,11507540,11508170,11508447,11508689,11508893,11509473,11509975,11510484,11510919,11511178,11511452,11511822,11512138,11512684,11513173,11513747,11514174,11514532,11514865,11515423,11515908,11516489,11517124,11517518,11517722,11518149,11518511,11519011,11519541,11520037,11520445,11520639,11521022,11521388,11521708,11522098,11522431,11522750,11522927,11523163,11523367,11523567,11523781,11524095,11524202,11524273,11524436,11524647,11524779,11525013,11525145,11525231,11525284,11525337,11525408,11525491,11525571,11525647,11525711,11525763,11525834,11525911,11525946,11526034,11526089,11526118,11526140,11526167,11526213,11526254,11526284,11526301,11526318,11526329,11526332,11526339,11526348,11526365,11526377,11526395,11526408,11526461,11526497,11526508,11526522,11526543,11526559,11526566,11526577,11526591,11526610,11526627,11526640,11526651,11526692,11526704,11526754,11526773,11526786,11526799,11526806,11526810,11526825,11526834,11526858,11526870,11526881,11526891,11526901,11526905,11526917,11526926,11526937,11526950,11526962,11526966,11526966,11526986,11526994,11527012,11527026,11527033,11527037
Total deaths, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8,10,10,10,11,15,16,17,21,22,23,24,24,25,25,25,25,26,27,27,27,29,30,30,32,32,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,37,37,37,39,41,41,42,44,44,45,46,47,47,47,47,48,49,49,51,53,53,53,55,55,55,57,58,59,59,61,61,61,62,64,66,69,69,70,72,74,74,76,76,80,81,81,84,84,86,90,97,102,105,110,112,119,125,132,138,207,225,225,254,334,334,370,396,428,462,493,524,524,630,863,1162,1307,1499,1696,2073,2330,2724,3021,3255,3402,3763,4152,4495,4822,5098,5448,5786,6154,6486,6785,7166,7557,7926,8296,8686,9035,9371,9690,10077,10430,10775,11091,11456,11896,12168,12477,12825,13107,13419,13736,14161,14507,14783,15057,15319,15701,15978,16229,16468,16680,16900,17133,17348,17588,17824,18060,18263,18443,18627,18801,18979,19141,19344,19480,19644,19758,19888,20022,20141,20266,20380,20485,20598,20713,20806,20912,20993,21086,21174,21237,21312,21387,21459,21530,21586,21663,21716,21781,21845,21899,21953,22009,22073,22126,22174,22248,22326,22385,22455,22513,22574,22641,22729,22808,22892,22973,23061,23125,23226,23313,23380,23519,23621,23728,23804,23994,24161,24286,24450,24587,24735,24925,25098,25295,25491,25701,25901,26104,26303,26526,26743,26973,27230,27446,27655,27883,28126,28379,28663,28904,29151,29400,29615,29840,30091,30301,30582,30817,31058,31265,31469,31683,31928,32168,32394,32610,32831,33021,33245,33474,33644,33877,34117,34319,34531,34787,34964,35170,35341,35480,35609,35788,35972,36114,36266,36443,36596,36719,36884,37010,37165,37291,37432,37547,37668,37777,37872,37968,38063,38147,38261,38324,38424,38521,38614,38688,38784,38862,38946,39037,39122,39188,39278,39358,39423,39501,39605,39682,39773,39884,39962,40050,40144,40252,40338,40452,40547,40644,40726,40813,40891,40977,41086,41157,41228,41290,41385,41477,41545,41607,41683,41740,41817,41880,41949,42014,42075,42145,42196,42258,42306,42306,42358,42413,42454,42493,42526,42563,42600,42642,42681,42712,42733,42768,42794,42813,42830,42858,42878,42901,42924,42934,42944,42957,42975,42982,42991,42998,43004,43013,43021,43029,43034,43037,43038,43041,43042,43044,43044,43047,43049,43055,43055,43056,43057,43058,43060,43063,43063,43065,43065,43067,43071,43072,43073,43075,43075,43075,43076,43076,43078,43078,43078,43078,43078,43078,43079,43079,43080,43080,43080,43080,43081,43081,43081,43081,43082,43083,43083,43083,43083,43083,43083,43083,43083,43083,43083,43084,43084,43084,43084,43084,43084,43084,43087,43087,43087,43087,43087,43087,43088,43089,43089,43089,43089,43089,43089,43089,43090,43090,43090,43090,43091,43091,43091,43091,43091,43091,43092,43092,43092,43092,43092,43092,43092,43093,43093,43093,43093,43094,43094,43094,43094,43094,43094,43094,43094,43095,43095,43096,43097,43098,43098,43100,43103,43103,43103,43104,43105,43106,43106,43108,43110,43110,43111,43112,43113,43117,43117,43117,43118,43119,43120,43122,43123,43125,43126,43126,43126,43129,43130,43132,43132,43137,43137,43138,43139,43141,43142,43146,43146,43146,43146,43146,43146,43147,43147,43148,43148,43149,43149,43149,43151,43151,43151,43152,43153,43153,43153,43154,43155,43155,43155,43155,43155,43157,43158,43159,43159,43159,43159,43159,43161,43161,43162,43162,43162,43163,43163,43163,43164,43165,43165,43165,43165,43166,43166,43166,43166,43166,43166,43166,43166,43166,43166,43167,43167,43168,43169,43169,43169,43169,43169,43170,43170,43170,43170,43170,43172,43175,43176,43176,43177,43177,43177,43178,43178,43178,43178,43178,43178,43178,43179,43179,43179,43179,43179,43179,43180,43180,43181,43182,43184,43184,43184,43184,43184,43184,43184,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186,43186
Cases,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,1,3,5,5,0,9,4,4,5,11,9,6,3,23,11,12,17,5,11,12,25,11,8,6,18,6,1,1,4,6,0,4,2,1,4,3,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,31,2,4,2,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,1,7,7,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,17,0,0,0,0,1,2,0,1,8,0,1,0,1,1,20,7,4,1,4,3,12,18,16,74,53,66,41,46,25,68,41,63,30,40,6,23,20,39,23,26,12,26,6,5,16,2,5,2,6,7,5,2,2,2,0,4,0,2,0,3,0,0,0,5,5,0,1,0,3,0,0,0,3,2,0,0,0,0,1,0,0,0,5,3,20,0,1,1,0,0,1,1,1,1,5,2,2,1,3,9,2,0,2,8,6,1,3,4,0,13,8,1,3,1,4,0,3,0,13,11,1,4,5,1,0,2,12,33,1,3,0,32,2,5,13,4,1,1,1,5,4,5,11,8,2,2,4,4,7,3,0,4,1,1,11,4,4,6,4,2,5,3,0,2,3,1,2,1,6,1,12,7,1,1,11,3,2,9,9,8,13,3,7,1,4,3,1,1,1,5,1,11,5,1,0,2,1,4,2,2,0,0,1,2,0,147,97,96,74,48,46,40,69,23,5,25,73,17,36,73,2,78,48,62,63,21,21,18,6,18,9,9,12,8,6,6,19,0,31,11,6,6,7,12,13,2,3,4,20,3,1,3,3,7,3,1,1,0,3,0,1,3,7,0,5,3,0,9,17,3,6,5,6,12,12,9,18,9,1,13,9,23,32,17,9,3,7,9,6,11,17,3,11,9,5,8,68,21,17,25,23,18,33,107,71,150,168,216,123,135,136,175,278,315,303,251,290,199,221,240,220,311,604,516,379,413,469,407,355,407,393,405,372,413,341,387,284,671,365,325,427,486,449,665,696,847,432,796,513,449,396,366,468,1427,284,603,660,610,738,1177,895,1519,1468,1812,1698,1657,2167,2679,3052,3219,3926,3794,4837,5635,5500,6126,9777,6922,7913,8841,10213,12054,15268,12427,13002,13053,10817,12521,14264,14225,14220,12296,13901,12572,11948,13727,12099,15987,15406,13840,14456,15948,15140,16029,15806,14271,15846,14276,17574,21073,18902,18694,16959,17831,19952,26532,21316,19964,21112,23460,20797,18862,21770,24613,15704,21668,20592,23436,20918,20483,21972,19685,19844,18432,17337,17461,17304,19002,15464,16563,14318,19291,19018,15630,14079,16007,16511,15442,13203,14443,13098,11475,9060,8872,8882,7200,7200,6852,7892,7448,5820,5970,4861,5709,6853,6261,5310,5264,5222,5000,6011,5996,6574,5562,6675,5999,5926,7276,8067,8083,8631,9105,9235,9295,11720,10855,12374,12354,12616,13173,13414,13084,13462,14812,13968,13483,14214,16923,16244,16860,15875,15716,16315,17033,17916,18999,20027,21094,25845,20818,22154,22476,23342,22035,21975,22511,23011,23456,22251,23465,24613,23856,25950,23533,24719,24471,24960,24235,24184,25228,25574,23778,25913,26279,25994,25644,24735,24155,23609,22921,22045,31531,26213,23543,26899,25294,23494,26906,25909,25605,26039,24721,23218,25126,25124,26041,24972,25498,24418,25434,26147,24783,25957,24745,24390,23259,22303,24450,24777,24418,23181,23524,21115,19542,16994,13479,13259,17880,18761,21754,25923,33780,36931,40137,40839,42105,40672,45346,49055,53560,55812,65428,64412,72425,72348,85742,91509,105284,119998,117967,130990,140935,146813,162070,171886,179502,186502,198287,205571,225015,223304,215511,226002,214243,210504,199923,217551,220912,212441,193827,201188,161653,150846,147562,144118,135238,122069,114790,102310,90990,96205,93359,87892,78773,71244,54788,52614,59393,53003,49291,42145,36578,30332,24772,24366,26310,24587,21340,19627,15576,12725,14299,14056,12721,11800,10959,9320,7844,8882,8429,7496,6392,5378,3913,3287,2850,3250,4531,4019,3520,2388,2289,3005,2901,4156,2342,1994,1678,1631,1878,1926,1805,1669,1533,1388,1240,1392,1414,1341,1303,1172,936,1176,1062,1101,1144,1093,926,721,847,1010,960,843,1011,747,597,649,900,910,814,760,735,561,547,787,994,778,686,691,586,670,809,817,882,975,768,537,721,1041,960,962,841,720,489,597,920,1052,980,1006,741,784,896,1142,1220,1358,1202,1126,787,942,1537,1855,1787,1899,1756,1554,1467,2104,2205,2042,2104,1610,1382,1706,2341,2011,2637,2192,1816,1428,1695,2984,2814,3296,2984,2704,1561,2254,3196,3596,3343,3196,2197,1705,2409,3242,2727,2680,1549,1596,1390,1896,3966,3878,3197,3645,2498,1643,2013,3302,3110,2964,3081,2479,1891,1778,3178,2288,1928,2545,1176,961,1435,1585,1587,978,1471,671,490,796,1021,1194,1130,702,682,371,1045,1228,1195,1070,589,732,325,674,623,1336,541,582,475,158,546,514,826,484,641,264,305,410,450,756,819,339,359,241,365,442,468,416,630,277,242,204,580,502,509,435,259,274,370,316,546,489,574,427,358,333,558,485,581,635,394,204,427,362,500,530,496,408,194,383,366,320,390,333,319,177,236,204,200,214,314,107,71,163,211,132,234,132,86,53,53,71,83,80,76,64,52,71,77,35,88,55,29,22,27,46,41,30,17,17,11,3,7,9,17,12,18,13,53,36,11,14,21,16,7,11,14,19,17,13,11,41,12,50,19,13,13,7,4,15,9,24,12,11,10,10,4,12,9,11,13,12,4,0,20,8,18,14,7,4
Deaths,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,0,2,0,0,1,4,1,1,4,1,1,1,0,1,0,0,0,1,1,0,0,2,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,2,0,1,1,1,0,0,0,1,1,0,2,2,0,0,2,0,0,2,1,1,0,2,0,0,1,2,2,3,0,1,2,2,0,2,0,4,1,0,3,0,2,4,7,5,3,5,2,7,6,7,6,69,18,0,29,80,0,36,26,32,34,31,31,0,106,233,299,145,192,197,377,257,394,297,234,147,361,389,343,327,276,350,338,368,332,299,381,391,369,370,390,349,336,319,387,353,345,316,365,440,272,309,348,282,312,317,425,346,276,274,262,382,277,251,239,212,220,233,215,240,236,236,203,180,184,174,178,162,203,136,164,114,130,134,119,125,114,105,113,115,93,106,81,93,88,63,75,75,72,71,56,77,53,65,64,54,54,56,64,53,48,74,78,59,70,58,61,67,88,79,84,81,88,64,101,87,67,139,102,107,76,190,167,125,164,137,148,190,173,197,196,210,200,203,199,223,217,230,257,216,209,228,243,253,284,241,247,249,215,225,251,210,281,235,241,207,204,214,245,240,226,216,221,190,224,229,170,233,240,202,212,256,177,206,171,139,129,179,184,142,152,177,153,123,165,126,155,126,141,115,121,109,95,96,95,84,114,63,100,97,93,74,96,78,84,91,85,66,90,80,65,78,104,77,91,111,78,88,94,108,86,114,95,97,82,87,78,86,109,71,71,62,95,92,68,62,76,57,77,63,69,65,61,70,51,62,48,0,52,55,41,39,33,37,37,42,39,31,21,35,26,19,17,28,20,23,23,10,10,13,18,7,9,7,6,9,8,8,5,3,1,3,1,2,0,3,2,6,0,1,1,1,2,3,0,2,0,2,4,1,1,2,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,2,3,0,0,1,1,1,0,2,2,0,1,1,1,4,0,0,1,1,1,2,1,2,1,0,0,3,1,2,0,5,0,1,1,2,1,4,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
